loc_rowid,sy_snum,sy_pnum,sy_mnum,cb_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_metratio,st_lum,st_logg,st_age,st_rotp,glat,glon,sy_pmdec,sy_dist,sy_plx
605,1,2,0,0,351.00000000,1.032000,14.000,244.09344,0.489000,0.184000,,,0,G5 V,5534.00,2.13,1.19,[Fe/H],0.555,3.92,7.570,,-6.31279,347.17359,-167.7660000,55.8503000,17.8763000
606,1,2,0,0,577.20000000,1.492000,13.800,296.85322,0.621000,0.095000,,,0,K1 IV,4915.00,3.49,1.33,[Fe/H],0.810,3.40,4.360,,-31.43019,115.16670,59.2616000,88.8047000,11.2320000
607,1,2,0,0,2149.00000000,3.584000,13.000,1150.54460,2.880000,0.099000,,,0,K1 IV,4915.00,3.49,1.33,[Fe/H],0.810,3.40,4.360,,-31.43019,115.16670,59.2616000,88.8047000,11.2320000
608,1,4,0,0,643.25000000,1.497000,13.500,532.68308,1.190000,0.128000,,,0,G5 V,5807.00,1.38,1.08,[M/H],0.278,4.37,6.400,,-11.49850,340.05994,-190.9190000,15.5981000,64.0817000
609,1,4,0,0,4205.80000000,5.235000,13.400,576.51900,1.320000,0.098500,,,0,G3IV/V,5807.00,1.38,1.08,[M/H],0.278,4.37,6.400,,-11.49850,340.05994,-190.9190000,15.5981000,64.0817000
610,1,4,0,0,9.63860000,0.090940,3.240,10.55470,1.710000,0.172000,,900,0,G3IV/V,5813.00,1.38,1.08,[M/H],0.278,4.25,6.400,,-11.49850,340.05994,-190.9190000,15.5981000,64.0817000
611,1,4,0,0,310.55000000,0.921000,14.200,165.86850,0.318000,0.066600,,,0,G3IV/V,5771.56,1.38,1.08,[M/H],0.278,4.17,6.400,,-11.49850,340.05994,-190.9190000,15.5981000,64.0817000
612,2,1,0,0,75.52300000,0.360000,10.900,82.63580,0.351000,0.250000,,,0,G5 IV,5757.00,1.48,1.11,[Fe/H],0.366,4.14,7.510,,-55.78037,173.94139,-437.9870000,37.7861000,26.4360000
613,1,1,0,0,990.00000000,2.120000,12.800,1620.93300,4.250000,0.600000,,,0,G0,5981.00,1.72,1.63,[Fe/H],0.508,4.18,3.300,19.70,-16.64016,143.08388,-41.3058000,59.8590000,16.6775000
614,1,1,0,0,8.42820000,0.080000,12.500,3127.44720,8.800000,0.280000,,,0,K3 V,4723.00,0.75,0.42,[Fe/H],-0.602,4.31,6.000,,-6.72629,350.73899,-25.3196000,30.8248000,32.4128000
615,1,2,0,0,75.22030000,0.362000,13.900,249.05159,0.510000,0.744100,,,0,G5,5522.00,1.76,1.12,[Fe/H],0.420,3.97,8.600,,30.17327,84.61440,119.5760000,67.7855000,14.7236000
616,1,2,0,0,1272.00000000,2.390000,13.300,699.54383,1.630000,0.080000,,,0,G5,5522.00,1.76,1.12,[Fe/H],0.420,3.97,8.600,,30.17327,84.61440,119.5760000,67.7855000,14.7236000
617,2,1,0,0,17.24000000,0.140000,5.000,22.10000,0.972000,0.200000,,,0,G1 V,5841.00,1.64,1.20,[Fe/H],0.443,4.16,7.000,,-66.23770,237.69566,-258.8690000,25.3936000,39.3512000
618,2,1,0,0,280.17000000,0.870000,14.300,140.79869,0.265000,0.238000,,,0,G5,5859.00,1.11,1.12,[Fe/H],0.120,4.44,2.320,,11.13651,27.26359,-20.3802000,53.1119000,18.7994000
619,2,1,0,0,40.00000000,0.230000,4.160,16.14000,1.230000,0.088000,,,0,G2 V,5790.00,1.02,0.99,[Fe/H],0.017,4.44,7.120,,23.27765,55.46741,173.4750000,28.2540000,35.3642000
